date,segment,product,country,customer,business_unit,cost_function,units_sold,unit_price,sales,cogs,gross_profit,operating_expenses,ebitda,budget,cost_actual,cost_budget,downtime_hours,headcount,units_produced,year,month,month_name,quarter,fiscal_quarter,month_year,week_number,gross_margin_pct,ebitda_margin_pct,operating_expense_pct,budget_variance,budget_variance_pct,budget_status,cost_variance,cost_variance_pct,cost_status,cost_per_unit,revenue_per_head,output_per_head,downtime_revenue_loss,margin_rag,cost_rag,downtime_rag,is_top5_customer,customer_concentration
2023-01-07,Automotive Components,Drive Shaft,India,Client_10,West Zone,Production,149,2261.0,336889.0,200495.31,136393.69,49400.56,86993.13,321245.27,249895.87,276847.49,16.7,79,469,2023,1,Jan,1,Q1-2023,Jan-2023,1,40.49,25.82,14.66,15643.73,4.87,On Track,-26951.62,-9.74,Within Budget,532.83,4264.42,5.94,703255.79,GREEN,GREEN,RED,0,29.36
2023-01-07,Consumer Electronics,Power Unit,Japan,Client_04,West Zone,R&D,467,7542.9,3522534.3,1851196.88,1671337.42,644037.91,1027299.51,3164000.5,2495234.79,2462115.55,5.7,56,141,2023,1,Jan,1,Q1-2023,Jan-2023,1,47.45,29.16,18.28,358533.8,11.33,On Track,33119.24,1.35,Over Budget,17696.7,62902.4,2.52,2509805.69,GREEN,GREEN,GREEN,0,29.36
2023-01-08,Consumer Electronics,Control Panel,UK,Client_12,North Zone,Labour,332,1923.56,638621.92,308443.61,330178.31,128850.9,201327.41,628211.27,437294.51,454377.2,15.4,86,61,2023,1,Jan,1,Q1-2023,Jan-2023,1,51.7,31.53,20.18,10410.65,1.66,On Track,-17082.69,-3.76,Within Budget,7168.76,7425.84,0.71,1229347.2,GREEN,GREEN,AMBER,0,29.36
2023-01-09,Automotive Components,Gear Box,Germany,Client_05,Export Division,Logistics,120,6723.63,806835.6,483807.75,323027.85,137457.33,185570.52,897765.22,621265.08,581454.22,18.6,110,650,2023,1,Jan,1,Q1-2023,Jan-2023,2,40.04,23.0,17.04,-90929.62,-10.13,Over Budget,39810.86,6.85,Over Budget,955.79,7334.87,5.91,1875892.77,GREEN,AMBER,RED,0,29.36
2023-01-10,Automotive Components,Gear Box,Germany,Client_05,Export Division,Overhead,228,1324.45,301974.6,206532.79,95441.81,34973.61,60468.2,286564.0,241506.4,258224.33,14.1,12,218,2023,1,Jan,1,Q1-2023,Jan-2023,2,31.61,20.02,11.58,15410.6,5.38,On Track,-16717.93,-6.47,Within Budget,1107.83,25164.55,18.17,532230.23,GREEN,GREEN,AMBER,0,29.36
2023-01-10,Industrial Equipment,Hydraulic Pump,Germany,Client_14,Export Division,Production,115,4071.84,468261.6,309082.91,159178.69,75665.72,83512.97,402358.2,384748.63,385103.09,22.7,15,784,2023,1,Jan,1,Q1-2023,Jan-2023,2,33.99,17.83,16.16,65903.4,16.38,On Track,-354.46,-0.09,Within Budget,490.75,31217.44,52.27,1328692.29,GREEN,GREEN,RED,0,29.36
2023-01-11,Consumer Electronics,Wiring Harness,USA,Client_15,North Zone,Production,540,6854.74,3701559.6,2091728.67,1609830.93,418111.22,1191719.71,3984597.41,2509839.89,2475844.01,21.6,51,662,2023,1,Jan,1,Q1-2023,Jan-2023,2,43.49,32.2,11.3,-283037.81,-7.1,Over Budget,33995.88,1.37,Over Budget,3791.3,72579.6,12.98,9994210.92,GREEN,GREEN,RED,1,29.36
2023-01-12,Automotive Components,Drive Shaft,Germany,Client_09,Export Division,R&D,611,5841.15,3568942.65,1973069.2,1595873.45,612741.14,983132.31,3305423.3,2585810.34,2589255.31,10.3,111,758,2023,1,Jan,1,Q1-2023,Jan-2023,2,44.72,27.55,17.17,263519.35,7.97,On Track,-3444.97,-0.13,Within Budget,3411.36,32152.64,6.83,4595013.66,GREEN,GREEN,AMBER,1,29.36
2023-01-13,Automotive Components,Suspension Unit,Germany,Client_14,West Zone,Logistics,473,3041.99,1438861.27,823668.51,615192.76,215712.29,399480.47,1229119.76,1039380.8,1021111.98,16.0,57,196,2023,1,Jan,1,Q1-2023,Jan-2023,2,42.76,27.76,14.99,209741.51,17.06,On Track,18268.82,1.79,Over Budget,5302.96,25243.18,3.44,2877722.54,GREEN,GREEN,RED,0,29.36
2023-01-13,Consumer Electronics,Display Module,India,Client_03,North Zone,Production,492,1224.23,602321.16,391192.49,211128.67,118905.61,92223.06,614544.34,510098.1,520683.46,13.5,52,726,2023,1,Jan,1,Q1-2023,Jan-2023,2,35.05,15.31,19.74,-12223.18,-1.99,Over Budget,-10585.36,-2.03,Within Budget,702.61,11583.1,13.96,1016416.96,GREEN,GREEN,AMBER,0,29.36
2023-01-15,Automotive Components,Clutch Kit,USA,Client_14,North Zone,Overhead,664,2843.37,1887997.68,902410.32,985587.36,303759.01,681828.35,1653324.97,1206169.33,1201013.51,20.3,54,609,2023,1,Jan,1,Q1-2023,Jan-2023,2,52.2,36.11,16.09,234672.71,14.19,On Track,5155.82,0.43,Over Budget,1980.57,34962.92,11.28,4790794.11,GREEN,GREEN,RED,0,29.36
2023-01-15,Industrial Equipment,Hydraulic Pump,USA,Client_19,South Zone,Labour,624,7809.1,4872878.4,3269580.81,1603297.59,846072.0,757225.59,5123206.44,4115652.81,3647706.87,22.3,116,750,2023,1,Jan,1,Q1-2023,Jan-2023,2,32.9,15.54,17.36,-250328.04,-4.89,Over Budget,467945.94,12.83,Over Budget,5487.54,42007.57,6.47,13583148.54,GREEN,RED,RED,0,29.36
2023-01-16,Industrial Equipment,Hydraulic Pump,Germany,Client_09,East Zone,Overhead,409,545.79,223228.11,152880.66,70347.45,37493.07,32854.38,215254.93,190373.73,174011.09,15.2,13,133,2023,1,Jan,1,Q1-2023,Jan-2023,3,31.51,14.72,16.8,7973.18,3.7,On Track,16362.64,9.4,Over Budget,1431.38,17171.39,10.23,424133.41,GREEN,AMBER,AMBER,1,29.36
2023-01-16,Consumer Electronics,Wiring Harness,Germany,Client_13,West Zone,Labour,399,1680.57,670547.43,358167.61,312379.82,93156.44,219223.38,777101.89,451324.05,461746.79,21.2,29,201,2023,1,Jan,1,Q1-2023,Jan-2023,3,46.59,32.69,13.89,-106554.46,-13.71,Over Budget,-10422.74,-2.26,Within Budget,2245.39,23122.33,6.93,1776950.69,GREEN,GREEN,RED,0,29.36
2023-01-18,Consumer Electronics,PCB Assembly,India,Client_09,West Zone,Labour,547,5053.07,2764029.29,1552913.5,1211115.79,347903.6,863212.19,2776314.49,1900817.1,1830185.56,2.7,96,734,2023,1,Jan,1,Q1-2023,Jan-2023,3,43.82,31.23,12.59,-12285.2,-0.44,Over Budget,70631.54,3.86,Over Budget,2589.67,28791.97,7.65,932859.89,GREEN,GREEN,GREEN,1,29.36
2023-01-20,Consumer Electronics,Display Module,UK,Client_10,North Zone,Logistics,454,7883.34,3579036.36,1663504.35,1915532.01,445700.17,1469831.84,4152815.56,2109204.52,2244539.28,18.3,47,375,2023,1,Jan,1,Q1-2023,Jan-2023,3,53.52,41.07,12.45,-573779.2,-13.82,Over Budget,-135334.76,-6.03,Within Budget,5624.55,76149.71,7.98,8187045.67,GREEN,GREEN,RED,0,29.36
2023-01-20,Automotive Components,Drive Shaft,Japan,Client_14,South Zone,Logistics,439,4494.37,1973028.43,1010446.84,962581.59,329588.14,632993.45,2092391.41,1340034.98,1293133.92,9.5,104,83,2023,1,Jan,1,Q1-2023,Jan-2023,3,48.79,32.08,16.7,-119362.98,-5.7,Over Budget,46901.06,3.63,Over Budget,16145.0,18971.43,0.8,2342971.26,GREEN,GREEN,AMBER,0,29.36
2023-01-21,Industrial Equipment,Hydraulic Pump,Japan,Client_03,East Zone,R&D,489,4800.5,2347444.5,1506037.57,841406.93,352406.06,489000.87,2022235.21,1858443.63,1644732.97,7.8,112,672,2023,1,Jan,1,Q1-2023,Jan-2023,3,35.84,20.83,15.01,325209.29,16.08,On Track,213710.66,12.99,Over Budget,2765.54,20959.33,6.0,2288758.39,GREEN,RED,GREEN,0,29.36
2023-01-21,Industrial Equipment,CNC Module,India,Client_14,North Zone,Logistics,496,4916.53,2438598.88,1442357.8,996241.08,359673.83,636567.25,2272039.75,1802031.63,1732623.12,8.0,31,118,2023,1,Jan,1,Q1-2023,Jan-2023,3,40.85,26.1,14.75,166559.13,7.33,On Track,69408.51,4.01,Over Budget,15271.45,78664.48,3.81,2438598.88,GREEN,GREEN,AMBER,0,29.36
2023-01-22,Consumer Electronics,PCB Assembly,UK,Client_17,South Zone,Overhead,409,5955.34,2435734.06,1634660.4,801073.66,481799.01,319274.65,2204477.64,2116459.41,1936870.66,4.7,87,196,2023,1,Jan,1,Q1-2023,Jan-2023,3,32.89,13.11,19.78,231256.42,10.49,On Track,179588.75,9.27,Over Budget,10798.26,27996.94,2.25,1430993.76,GREEN,AMBER,GREEN,0,29.36
2023-01-22,Consumer Electronics,PCB Assembly,Germany,Client_16,West Zone,R&D,643,3866.79,2486345.97,1739252.83,747093.14,417057.22,330035.92,2607449.4,2156310.05,2220751.87,20.7,90,363,2023,1,Jan,1,Q1-2023,Jan-2023,3,30.05,13.27,16.77,-121103.43,-4.64,Over Budget,-64441.82,-2.9,Within Budget,5940.25,27626.07,4.03,6433420.2,GREEN,GREEN,RED,1,29.36
2023-01-25,Automotive Components,Clutch Kit,India,Client_16,West Zone,Overhead,331,4935.65,1633700.15,890406.44,743293.71,177914.65,565379.06,1611199.68,1068321.09,949764.95,8.8,46,118,2023,1,Jan,1,Q1-2023,Jan-2023,4,45.5,34.61,10.89,22500.47,1.4,On Track,118556.14,12.48,Over Budget,9053.57,35515.22,2.57,1797070.16,GREEN,RED,AMBER,1,29.36
2023-01-26,Consumer Electronics,PCB Assembly,UK,Client_20,Export Division,Labour,523,4852.47,2537841.81,1795884.72,741957.09,478815.95,263141.14,2118509.58,2274700.67,2498012.56,13.7,34,369,2023,1,Jan,1,Q1-2023,Jan-2023,4,29.24,10.37,18.87,419332.23,19.79,On Track,-223311.89,-8.94,Within Budget,6164.5,74642.41,10.85,4346054.1,GREEN,GREEN,AMBER,1,29.36
2023-01-26,Consumer Electronics,Display Module,UK,Client_05,North Zone,Labour,155,6582.25,1020248.75,689781.85,330466.9,222298.19,108168.71,867577.18,912080.04,944067.14,0.9,100,488,2023,1,Jan,1,Q1-2023,Jan-2023,4,32.39,10.6,21.79,152671.57,17.6,On Track,-31987.1,-3.39,Within Budget,1869.02,10202.49,4.88,114777.98,GREEN,GREEN,GREEN,0,29.36
2023-01-26,Industrial Equipment,Sensor Array,UK,Client_20,South Zone,Overhead,431,7384.53,3182732.43,1765151.27,1417581.16,614062.95,803518.21,3387710.52,2379214.22,2123609.82,15.1,52,107,2023,1,Jan,1,Q1-2023,Jan-2023,4,44.54,25.25,19.29,-204978.09,-6.05,Over Budget,255604.4,12.04,Over Budget,22235.65,61206.39,2.06,6007407.46,GREEN,RED,AMBER,1,29.36
2023-01-27,Industrial Equipment,Hydraulic Pump,UK,Client_13,East Zone,Overhead,791,6886.75,5447419.25,3869796.02,1577623.23,938721.61,638901.62,4761776.55,4808517.63,4325552.41,15.9,54,357,2023,1,Jan,1,Q1-2023,Jan-2023,4,28.96,11.73,17.23,685642.7,14.4,On Track,482965.22,11.17,Over Budget,13469.24,100878.13,6.61,10826745.76,GREEN,RED,AMBER,0,29.36
2023-01-27,Consumer Electronics,Display Module,Germany,Client_20,North Zone,Overhead,622,3325.09,2068205.98,1372769.09,695436.89,408640.63,286796.26,2194866.85,1781409.72,1922052.29,17.7,97,579,2023,1,Jan,1,Q1-2023,Jan-2023,4,33.63,13.87,19.76,-126660.87,-5.77,Over Budget,-140642.57,-7.32,Within Budget,3076.7,21321.71,5.97,4575905.73,GREEN,GREEN,RED,1,29.36
2023-01-28,Automotive Components,Clutch Kit,UK,Client_12,North Zone,Overhead,366,1851.97,677821.02,344219.22,333601.8,144864.04,188737.76,674470.91,489083.26,456984.89,3.3,19,342,2023,1,Jan,1,Q1-2023,Jan-2023,4,49.22,27.84,21.37,3350.11,0.5,On Track,32098.37,7.02,Over Budget,1430.07,35674.79,18.0,279601.17,GREEN,AMBER,GREEN,0,29.36
2023-01-28,Automotive Components,Suspension Unit,UK,Client_17,North Zone,Overhead,682,1482.87,1011317.34,557958.3,453359.04,120821.74,332537.3,1131951.54,678780.04,722943.83,19.4,31,778,2023,1,Jan,1,Q1-2023,Jan-2023,4,44.83,32.88,11.95,-120634.2,-10.66,Over Budget,-44163.79,-6.11,Within Budget,872.47,32623.14,25.1,2452444.55,GREEN,GREEN,RED,0,29.36
2023-01-28,Industrial Equipment,Hydraulic Pump,Japan,Client_12,South Zone,Labour,675,2636.96,1779948.0,1160712.74,619235.26,273883.01,345352.25,1801741.71,1434595.75,1368994.98,19.4,70,238,2023,1,Jan,1,Q1-2023,Jan-2023,4,34.79,19.4,15.39,-21793.71,-1.21,Over Budget,65600.77,4.79,Over Budget,6027.71,25427.83,3.4,4316373.9,GREEN,GREEN,RED,0,29.36
2023-01-29,Industrial Equipment,Sensor Array,Japan,Client_15,East Zone,Labour,564,4455.95,2513155.8,1786583.36,726572.44,497672.57,228899.87,2785715.89,2284255.93,2086018.26,6.0,92,532,2023,1,Jan,1,Q1-2023,Jan-2023,4,28.91,9.11,19.8,-272560.09,-9.78,Over Budget,198237.67,9.5,Over Budget,4293.71,27316.91,5.78,1884866.85,GREEN,AMBER,GREEN,1,29.36
2023-01-30,Industrial Equipment,Sensor Array,India,Client_17,North Zone,Overhead,135,6223.38,840156.3,439950.91,400205.39,175287.48,224917.91,733494.69,615238.39,606005.76,22.7,38,501,2023,1,Jan,1,Q1-2023,Jan-2023,5,47.63,26.77,20.86,106661.61,14.54,On Track,9232.63,1.52,Over Budget,1228.02,22109.38,13.18,2383943.5,GREEN,GREEN,RED,0,29.36
2023-01-30,Industrial Equipment,Hydraulic Pump,Japan,Client_02,West Zone,R&D,432,2268.34,979922.88,704096.0,275826.88,142078.55,133748.33,813480.55,846174.55,933667.49,20.1,93,383,2023,1,Jan,1,Q1-2023,Jan-2023,5,28.15,13.65,14.5,166442.33,20.46,On Track,-87492.94,-9.37,Within Budget,2209.33,10536.81,4.12,2462056.24,GREEN,GREEN,RED,0,29.36
2023-01-30,Automotive Components,Brake Assembly,India,Client_10,West Zone,Logistics,772,4018.33,3102150.76,1911371.67,1190779.09,647427.86,543351.23,2564986.67,2558799.53,2384179.73,3.6,103,663,2023,1,Jan,1,Q1-2023,Jan-2023,5,38.39,17.52,20.87,537164.09,20.94,On Track,174619.8,7.32,Over Budget,3859.43,30117.97,6.44,1395967.84,GREEN,AMBER,GREEN,0,29.36
2023-01-31,Consumer Electronics,Display Module,India,Client_10,South Zone,Overhead,174,858.12,149312.88,84115.84,65197.04,29156.01,36041.03,147007.62,113271.85,102692.93,21.7,86,588,2023,1,Jan,1,Q1-2023,Jan-2023,5,43.66,24.14,19.53,2305.26,1.57,On Track,10578.92,10.3,Over Budget,192.64,1736.2,6.84,405011.19,GREEN,RED,RED,0,29.36
2023-02-01,Automotive Components,Suspension Unit,UK,Client_08,South Zone,Overhead,489,511.73,250235.97,136443.75,113792.22,42159.67,71632.55,222067.66,178603.42,185813.92,12.6,56,109,2023,2,Feb,1,Q1-2023,Feb-2023,5,45.47,28.63,16.85,28168.31,12.68,On Track,-7210.5,-3.88,Within Budget,1638.56,4468.5,1.95,394121.65,GREEN,GREEN,AMBER,0,29.36
2023-02-02,Consumer Electronics,Wiring Harness,UK,Client_17,Export Division,Production,449,7049.99,3165445.51,1461658.06,1703787.45,463502.76,1240284.69,3021065.93,1925160.82,2039430.63,8.6,18,393,2023,2,Feb,1,Q1-2023,Feb-2023,5,53.82,39.18,14.64,144379.58,4.78,On Track,-114269.81,-5.6,Within Budget,4898.63,175858.08,21.83,3402853.92,GREEN,GREEN,AMBER,0,29.36
2023-02-02,Automotive Components,Drive Shaft,UK,Client_11,South Zone,Production,410,4595.1,1883991.0,1261609.66,622381.34,227983.06,394398.28,2073315.77,1489592.72,1476945.33,16.7,90,226,2023,2,Feb,1,Q1-2023,Feb-2023,5,33.04,20.93,12.1,-189324.77,-9.13,Over Budget,12647.39,0.86,Over Budget,6591.12,20933.23,2.51,3932831.21,GREEN,GREEN,RED,0,29.36
2023-02-02,Automotive Components,Drive Shaft,Japan,Client_02,East Zone,Logistics,94,6433.32,604732.08,416759.22,187972.86,83375.32,104597.54,563384.93,500134.54,487918.14,19.6,70,299,2023,2,Feb,1,Q1-2023,Feb-2023,5,31.08,17.3,13.79,41347.15,7.34,On Track,12216.4,2.5,Over Budget,1672.69,8639.03,4.27,1481593.6,GREEN,GREEN,RED,0,29.36
2023-02-03,Automotive Components,Brake Assembly,USA,Client_12,North Zone,Overhead,329,1433.56,471641.24,259103.27,212537.97,97506.35,115031.62,512952.66,356609.62,390385.19,9.3,33,548,2023,2,Feb,1,Q1-2023,Feb-2023,5,45.06,24.39,20.67,-41311.42,-8.05,Over Budget,-33775.57,-8.65,Within Budget,650.75,14292.16,16.61,548282.94,GREEN,GREEN,AMBER,0,29.36
2023-02-06,Consumer Electronics,Display Module,USA,Client_17,East Zone,Production,794,3683.75,2924897.5,1656263.96,1268633.54,641756.97,626876.57,2588429.97,2298020.93,2184277.95,2.5,51,716,2023,2,Feb,1,Q1-2023,Feb-2023,6,43.37,21.43,21.94,336467.53,13.0,On Track,113742.98,5.21,Over Budget,3209.53,57350.93,14.04,914030.47,GREEN,AMBER,GREEN,0,29.36
2023-02-07,Industrial Equipment,CNC Module,Japan,Client_20,West Zone,Logistics,756,3829.31,2894958.36,1652225.13,1242733.23,541987.53,700745.7,3323929.25,2194212.66,2254694.72,10.4,91,850,2023,2,Feb,1,Q1-2023,Feb-2023,6,42.93,24.21,18.72,-428970.89,-12.91,Over Budget,-60482.06,-2.68,Within Budget,2581.43,31812.73,9.34,3763445.87,GREEN,GREEN,AMBER,1,29.36
2023-02-07,Automotive Components,Drive Shaft,Japan,Client_12,Export Division,Logistics,81,1570.85,127238.85,78130.34,49108.51,24653.47,24455.04,105929.86,102783.81,92108.27,18.7,56,410,2023,2,Feb,1,Q1-2023,Feb-2023,6,38.6,19.22,19.38,21308.99,20.12,On Track,10675.54,11.59,Over Budget,250.69,2272.12,7.32,297420.81,GREEN,RED,RED,0,29.36
2023-02-09,Industrial Equipment,Sensor Array,India,Client_20,South Zone,Labour,429,3290.1,1411452.9,925959.41,485493.49,238352.92,247140.57,1426422.14,1164312.33,1135819.48,15.6,41,156,2023,2,Feb,1,Q1-2023,Feb-2023,6,34.4,17.51,16.89,-14969.24,-1.05,Over Budget,28492.85,2.51,Over Budget,7463.54,34425.68,3.8,2752333.16,GREEN,GREEN,AMBER,1,29.36
2023-02-09,Automotive Components,Brake Assembly,Japan,Client_17,West Zone,R&D,170,2463.33,418766.1,217874.89,200891.21,64302.7,136588.51,493596.02,282177.59,267656.29,22.0,72,244,2023,2,Feb,1,Q1-2023,Feb-2023,6,47.97,32.62,15.36,-74829.92,-15.16,Over Budget,14521.3,5.43,Over Budget,1156.47,5816.2,3.39,1151606.77,GREEN,AMBER,RED,0,29.36
2023-02-10,Automotive Components,Brake Assembly,India,Client_15,South Zone,Labour,139,6578.85,914460.15,650402.04,264058.11,199708.0,64350.11,969713.96,850110.04,892861.83,13.2,47,347,2023,2,Feb,1,Q1-2023,Feb-2023,6,28.88,7.04,21.84,-55253.81,-5.7,Over Budget,-42751.79,-4.79,Within Budget,2449.88,19456.6,7.38,1508859.25,GREEN,GREEN,AMBER,1,29.36
2023-02-10,Automotive Components,Brake Assembly,USA,Client_17,South Zone,Production,255,6440.49,1642324.95,844021.62,798303.33,261593.84,536709.49,1560081.83,1105615.46,1124794.1,11.2,80,172,2023,2,Feb,1,Q1-2023,Feb-2023,6,48.61,32.68,15.93,82243.12,5.27,On Track,-19178.64,-1.71,Within Budget,6428.0,20529.06,2.15,2299254.93,GREEN,GREEN,AMBER,0,29.36
2023-02-10,Consumer Electronics,PCB Assembly,India,Client_10,West Zone,Labour,588,3580.96,2105604.48,1180290.38,925314.1,355822.02,569492.08,1821595.58,1536112.4,1468656.54,1.8,69,736,2023,2,Feb,1,Q1-2023,Feb-2023,6,43.95,27.05,16.9,284008.9,15.59,On Track,67455.86,4.59,Over Budget,2087.11,30516.01,10.67,473761.01,GREEN,GREEN,GREEN,0,29.36
2023-02-11,Consumer Electronics,Control Panel,Germany,Client_18,Export Division,Logistics,182,3744.64,681524.48,474267.65,207256.83,72684.27,134572.56,589312.86,546951.92,501403.79,4.0,51,766,2023,2,Feb,1,Q1-2023,Feb-2023,6,30.41,19.75,10.66,92211.62,15.65,On Track,45548.13,9.08,Over Budget,714.04,13363.23,15.02,340762.24,GREEN,AMBER,GREEN,0,29.36
2023-02-11,Automotive Components,Gear Box,UK,Client_10,North Zone,Overhead,251,5262.93,1320995.43,790915.87,530079.56,151941.47,378138.09,1227227.02,942857.34,950432.94,12.1,31,646,2023,2,Feb,1,Q1-2023,Feb-2023,6,40.13,28.63,11.5,93768.41,7.64,On Track,-7575.6,-0.8,Within Budget,1459.53,42612.76,20.84,1998005.59,GREEN,GREEN,AMBER,0,29.36
2023-02-12,Consumer Electronics,Power Unit,Germany,Client_20,Export Division,Overhead,627,808.96,507217.92,346541.89,160676.03,55665.51,105010.52,589121.88,402207.4,428369.13,6.4,36,825,2023,2,Feb,1,Q1-2023,Feb-2023,6,31.68,20.7,10.97,-81903.96,-13.9,Over Budget,-26161.73,-6.11,Within Budget,487.52,14089.39,22.92,405774.34,GREEN,GREEN,GREEN,1,29.36
2023-02-12,Consumer Electronics,Display Module,UK,Client_01,West Zone,R&D,346,5314.3,1838747.8,977414.73,861333.07,237907.03,623426.04,2042197.44,1215321.76,1187931.09,10.9,98,101,2023,2,Feb,1,Q1-2023,Feb-2023,6,46.84,33.9,12.94,-203449.64,-9.96,Over Budget,27390.67,2.31,Over Budget,12032.89,18762.73,1.03,2505293.88,GREEN,GREEN,AMBER,0,29.36
2023-02-14,Automotive Components,Clutch Kit,Japan,Client_16,West Zone,Logistics,398,5049.95,2009880.1,1074074.45,935805.65,374246.8,561558.85,2179336.93,1448321.25,1573726.42,23.4,26,818,2023,2,Feb,1,Q1-2023,Feb-2023,7,46.56,27.94,18.62,-169456.83,-7.78,Over Budget,-125405.17,-7.97,Within Budget,1770.56,77303.08,31.46,5878899.29,GREEN,GREEN,RED,1,29.36
2023-02-14,Industrial Equipment,Sensor Array,UK,Client_04,East Zone,Logistics,527,1418.91,747765.57,427266.46,320499.11,87417.77,233081.34,626790.49,514684.23,569700.05,20.7,63,294,2023,2,Feb,1,Q1-2023,Feb-2023,7,42.86,31.17,11.69,120975.08,19.3,On Track,-55015.82,-9.66,Within Budget,1750.63,11869.29,4.67,1934843.41,GREEN,GREEN,RED,0,29.36
2023-02-15,Automotive Components,Gear Box,UK,Client_11,South Zone,Logistics,560,7969.77,4463071.2,2570907.9,1892163.3,917112.39,975050.91,4458846.0,3488020.29,3144840.19,9.4,68,286,2023,2,Feb,1,Q1-2023,Feb-2023,7,42.4,21.85,20.55,4225.2,0.09,On Track,343180.1,10.91,Over Budget,12195.88,65633.4,4.21,5244108.66,GREEN,RED,AMBER,0,29.36
